Fit ID	189	412	2137	2177	2162	2041	376	2132	884	609	667	747	757	816	236	915	750	608	2055	270	
k101	8.33e-07	8.33e-07	8.33e-07	8.33e-07	8.33e-07	8.33e-07	8.33e-07	8.33e-07	8.33e-07	8.33e-07	8.33e-07	8.33e-07	8.33e-07	8.33e-07	8.33e-07	8.33e-07	8.33e-07	8.33e-07	8.33e-07	8.33e-07	
k102	5.00e-07	5.00e-07	5.00e-07	5.00e-07	5.00e-07	5.00e-07	5.00e-07	5.00e-07	5.00e-07	5.00e-07	5.00e-07	5.00e-07	5.00e-07	5.00e-07	5.00e-07	5.00e-07	5.00e-07	5.00e-07	5.00e-07	5.00e-07	
k103	4.19e-08	4.19e-08	9.39e-10	1.87e-10	1.67e-07	8.37e-09	1.87e-08	8.37e-08	2.10e-10	7.46e-08	1.67e-08	5.28e-08	1.18e-09	4.19e-09	1.33e-09	7.46e-11	5.93e-10	7.46e-11	8.37e-08	2.10e-08	
k104	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	
k105	6.67e-05	6.67e-05	6.67e-05	6.67e-05	6.67e-05	6.67e-05	6.67e-05	6.67e-05	6.67e-05	6.67e-05	6.67e-05	6.67e-05	6.67e-05	6.67e-05	6.67e-05	6.67e-05	6.67e-05	6.67e-05	6.67e-05	6.67e-05	
k106	8.39e-06	9.42e-06	7.48e-05	1.49e-05	1.19e-05	1.33e-05	1.33e-05	2.37e-05	1.33e-05	5.94e-04	1.06e-05	1.33e-05	2.37e-05	1.33e-05	2.11e-05	8.39e-06	7.48e-06	1.06e-05	1.49e-05	7.48e-06	
k106b	1.86e-06	2.63e-08	2.63e-08	2.63e-05	2.63e-08	2.63e-08	4.68e-04	8.33e-07	7.42e-06	3.72e-08	4.17e-06	2.96e-06	7.42e-06	2.96e-06	4.17e-06	1.05e-05	6.62e-06	8.33e-06	4.68e-05	2.35e-03	
k107	3.33e-05	3.33e-05	3.33e-05	3.33e-05	3.33e-05	3.33e-05	3.33e-05	3.33e-05	3.33e-05	3.33e-05	3.33e-05	3.33e-05	3.33e-05	3.33e-05	3.33e-05	3.33e-05	3.33e-05	3.33e-05	3.33e-05	3.33e-05	
k108	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	
k109	5.00e-06	5.00e-06	5.00e-06	5.00e-06	5.00e-06	5.00e-06	5.00e-06	5.00e-06	5.00e-06	5.00e-06	5.00e-06	5.00e-06	5.00e-06	5.00e-06	5.00e-06	5.00e-06	5.00e-06	5.00e-06	5.00e-06	5.00e-06	
k10b	5.43e-02	5.43e-02	5.43e-02	5.43e-02	5.43e-02	5.43e-02	5.43e-02	5.43e-02	5.43e-02	5.43e-02	5.43e-02	5.43e-02	5.43e-02	5.43e-02	5.43e-02	5.43e-02	5.43e-02	5.43e-02	5.43e-02	5.43e-02	
k110	3.33e-04	3.33e-04	3.33e-04	3.33e-04	3.33e-04	3.33e-04	3.33e-04	3.33e-04	3.33e-04	3.33e-04	3.33e-04	3.33e-04	3.33e-04	3.33e-04	3.33e-04	3.33e-04	3.33e-04	3.33e-04	3.33e-04	3.33e-04	
k111	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	
k112	3.74e-04	2.65e-03	2.65e-03	8.37e-05	2.97e-04	4.71e-03	1.05e-04	5.28e-03	8.37e-05	4.71e-03	5.28e-05	4.19e-04	4.19e-05	7.46e-05	2.65e-04	1.67e-05	3.74e-05	2.97e-05	2.97e-04	2.97e-05	
k113	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	
k114	2.23e-06	1.25e-05	2.81e-07	1.58e-05	4.99e-06	4.99e-06	1.99e-06	7.91e-06	5.60e-06	1.25e-06	6.28e-06	2.81e-06	1.12e-05	2.50e-06	3.53e-06	2.50e-05	1.77e-05	1.41e-05	8.87e-06	1.41e-05	
k115	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	
k116	2.12e-03	9.49e-03	1.06e-03	3.00e-03	8.46e-04	1.50e-02	3.78e-03	9.49e-03	1.89e-03	2.12e-03	1.69e-03	2.67e-03	5.99e-03	3.37e-03	3.37e-03	3.37e-03	2.38e-03	4.24e-03	3.00e-03	3.37e-03	
